stn;time;hto000d0;qhto000d0;mhto000d0
AIG;19840101;0;0;-
AIG;19840102;0;0;-
AIG;19840103;0;0;-
AIG;19840104;0;0;-
AIG;19840105;8;0;-
AIG;19840106;6;0;-
AIG;19840107;3;0;-
AIG;19840108;1;0;-
AIG;19840109;0;0;-
AIG;19840110;0;0;-
AIG;19840111;0;0;-
AIG;19840112;0;0;-
AIG;19840113;4;0;-
AIG;19840114;2;0;-
AIG;19840115;0;0;-
AIG;19840116;0;0;-
AIG;19840117;0;0;-
AIG;19840118;0;0;-
AIG;19840119;0;0;-
AIG;19840120;3;0;-
AIG;19840121;2;0;-
AIG;19840122;2;0;-
AIG;19840123;0;0;-
AIG;19840124;0;0;-
AIG;19840125;2;0;-
AIG;19840126;0;0;-
AIG;19840127;0;0;-
AIG;19840128;0;0;-
AIG;19840129;0;0;-
AIG;19840130;0;0;-
AIG;19840131;0;0;-
AIG;19840201;0;0;-
AIG;19840202;0;0;-
AIG;19840203;0;0;-
AIG;19840204;0;0;-
AIG;19840205;0;0;-
AIG;19840206;0;0;-
AIG;19840207;0;0;-
AIG;19840208;0;0;-
AIG;19840209;0;0;-
AIG;19840210;1;0;-
AIG;19840211;0;0;-
AIG;19840212;0;0;-
AIG;19840213;0;0;-
AIG;19840214;0;0;-
AIG;19840215;0;0;-
AIG;19840216;0;0;-
AIG;19840217;0;0;-
AIG;19840218;0;0;-
AIG;19840219;0;0;-
AIG;19840220;0;0;-
AIG;19840221;0;0;-
AIG;19840222;0;0;-
AIG;19840223;0;0;-
AIG;19840224;0;0;-
AIG;19840225;0;0;-
AIG;19840226;0;0;-
AIG;19840227;5;0;-
AIG;19840228;0;0;-
AIG;19840229;0;0;-
AIG;19840301;0;0;-
AIG;19840302;0;0;-
AIG;19840303;3;0;-
AIG;19840304;8;0;-
AIG;19840305;0;0;-
AIG;19840306;0;0;-
AIG;19840307;0;0;-
AIG;19840308;0;0;-
AIG;19840309;0;0;-
AIG;19840310;0;0;-
AIG;19840311;0;0;-
AIG;19840312;0;0;-
AIG;19840313;0;0;-
AIG;19840314;0;0;-
AIG;19840315;0;0;-
AIG;19840316;0;0;-
AIG;19840317;0;0;-
AIG;19840318;0;0;-
AIG;19840319;0;0;-
AIG;19840320;0;0;-
AIG;19840321;0;0;-
